code,p17hong,p17yoo,p17the,p17han,p17kuk,p17jung,p17valid,p16the,p16han,p16kuk,p16jung,p16valid,r17han,r17the,r17hong,r17kuk,r17yoo,r17jung,r16the,r16han,r16kuk,r16jung,d_the,d_han,d_kuk,d_jung,win17r,winner17,wingap17,sec17r,sec17,third17r,third17,forth17r,forth17,last17r,last17
1104055,1055,678,2713,1733,1448,509,6436,1660,1449,1547,561,5657,0.269266625,0.421535115,0.16392169,0.224984462,0.105344935,0.079086389,0.316559038,0.276321715,0.29501014,0.106981699,0.104976077,-0.007055089,-0.070025677,-0.02789531,0.421535115,1,0.196550653,0.224984462,3,0.16392169,2,0.105344935,4,0.079086389,5
1104056,1877,662,3676,2539,2028,547,8834,1950,2294,2058,573,7317,0.287412271,0.416119538,0.21247453,0.22956758,0.074937741,0.061919855,0.28222364,0.332010785,0.297854488,0.082930331,0.133895898,-0.044598514,-0.068286908,-0.021010476,0.416119538,1,0.186551958,0.22956758,3,0.21247453,2,0.074937741,4,0.061919855,5
1104057,2776,1185,6443,3961,3239,860,14558,3547,3697,3518,1147,12715,0.272084077,0.442574529,0.190685534,0.222489353,0.081398544,0.059074049,0.296716724,0.309264654,0.294290791,0.09594984,0.145857806,-0.037180577,-0.071801438,-0.036875791,0.442574529,1,0.220085177,0.222489353,3,0.190685534,2,0.081398544,4,0.059074049,5
1104058,2150,789,4167,2939,2184,567,9907,2075,2568,2260,663,8050,0.296658928,0.420611689,0.21701827,0.220450187,0.079640658,0.05723226,0.272869099,0.337700167,0.297197188,0.087186609,0.147742589,-0.041041239,-0.076747001,-0.029954349,0.420611689,1,0.200161502,0.220450187,3,0.21701827,2,0.079640658,4,0.05723226,5
1104059,1634,533,3131,2167,1774,433,7532,1427,2009,1913,452,6261,0.287705789,0.415693043,0.216941052,0.235528412,0.070764737,0.057488051,0.245110261,0.345078146,0.328588598,0.077638289,0.170582782,-0.057372358,-0.093060186,-0.020150238,0.415693043,1,0.180164631,0.235528412,3,0.216941052,2,0.070764737,4,0.057488051,5
1104062,1849,722,3516,2571,1926,446,8496,1515,2045,2166,558,6707,0.302612994,0.413841808,0.217631827,0.226694915,0.084981168,0.052495292,0.240038541,0.32401242,0.343183815,0.088410235,0.173803267,-0.021399425,-0.116488899,-0.035914943,0.413841808,1,0.187146893,0.226694915,3,0.217631827,2,0.084981168,4,0.052495292,5
1104065,2036,741,4039,2777,2091,606,9563,2028,2338,1994,674,7592,0.290390045,0.422357001,0.2129039,0.218655234,0.077486145,0.063369236,0.286806459,0.330647683,0.281998067,0.095319306,0.135550542,-0.040257638,-0.063342833,-0.031950071,0.422357001,1,0.203701767,0.218655234,3,0.2129039,2,0.077486145,4,0.063369236,5
1104066,2092,688,4339,2780,2078,646,9881,2422,2522,2304,820,8620,0.281348042,0.439125595,0.211719462,0.210302601,0.06962858,0.065377998,0.299043822,0.311390801,0.284474388,0.101245225,0.140081772,-0.030042759,-0.074171787,-0.035867227,0.439125595,1,0.227406133,0.211719462,2,0.210302601,3,0.06962858,4,0.065377998,5
1104067,2487,723,4381,3210,2614,666,10915,2091,2761,2284,544,8338,0.294090701,0.401374256,0.22785158,0.239486945,0.06623912,0.061016949,0.271168081,0.358055989,0.296196986,0.070547794,0.130206174,-0.063965288,-0.056710042,-0.009530844,0.401374256,1,0.161887311,0.239486945,3,0.22785158,2,0.06623912,4,0.061016949,5
1104068,1663,527,2867,2190,1535,422,7030,1481,1909,1529,437,5754,0.311522048,0.407823613,0.23655761,0.218349929,0.074964438,0.06002845,0.275882992,0.3556115,0.284824507,0.081405042,0.131940621,-0.044089451,-0.066474578,-0.021376593,0.407823613,1,0.171266003,0.23655761,2,0.218349929,3,0.074964438,4,0.06002845,5
