구분,No.,Korean,Scientific,Family,구분,수량
7. 상록수원,19,다정큼나무,Rhaphiolepis indica var. umbellata,장미과,상록관목,12
7. 상록수원,20,덜꿩나무,Viburnum erosum ,인동과,낙엽관목,2
7. 상록수원,21,독일가문비,Picea abies,소나무과,상록교목,1
7. 상록수원,22,돈나무,Pittosporum tobira,돈나무과,상록관목,4
7. 상록수원,23,동백 '안티시페이션',Camellia x williamsii 'Anticipation',차나무과,상록관목,1
7. 상록수원,24,두릅나무,Aralia elata,두릅나무과,낙엽관목,10
7. 상록수원,25,둥근잎광나무,Ligustrum japonicum 'Rotundifolium',물푸레나무과,상록교목,10
7. 상록수원,26,때죽나무,Styrax japonicus,때죽나무과,낙엽교목,1
7. 상록수원,27,레우코토에 '레인보우',Leucothoe fontanesiana 'Rainbow' ,진달래과,상록관목,1
7. 상록수원,28,먼나무,Ilex rotunda,감탕나무과,상록교목,10
7. 상록수원,29,모밀잣밤나무,Castanopsis cuspidata,참나무과,상록교목,1
7. 상록수원,30,무늬리네아돌나물,Sedum lineare 'Variegatum' ,돌나물과,다년초,1
7. 상록수원,31,무늬병꽃나무,Weigela subsessilis 'Variegatus',인동과,낙엽관목,1
7. 상록수원,32,무늬소나무,Pinus densiflora 'Oculus Draconis',소나무과,상록교목,3
7. 상록수원,33,바하버 눈향나무,Juniperus horizontalis 'Bar Harbor' ,측백나무과,상록관목,3
7. 상록수원,34,박태기나무,Cercis chinensis,콩과,낙엽관목,10
7. 상록수원,35,백송,Pinus bungeana ,소나무과,상록교목,1
7. 상록수원,36,보리수나무,Elaeagnus umbellata ,보리수나무과,낙엽관목,1
7. 상록수원,37,붉가시나무,Quercus acuta ,참나무과,상록교목,8
7. 상록수원,38,붓순나무,Illicium anisatum,붓순나무과,상록관목,2
7. 상록수원,39,비파나무,Eriobotrya japonica,장미과,상록교목,2
7. 상록수원,40,산딸나무,Cornus kousa,층층나무과,낙엽교목,1
7. 상록수원,41,삼나무,Cryptomeria japonica,낙우송과,상록교목,26
7. 상록수원,42,생달나무,Cinnamomum yabunikkei,녹나무과,상록교목,1
