,sector
5398,46
5428,37
5430,2
5438,63
5439,16
5440,78
5441,60
5442,70
5443,51
5444,40
5445,82
5446,2
5447,86
5448,82
5449,12
5459,66
5460,40
5463,7
5464,33
5465,4
5466,31
5479,89
5491,59
5492,59
5529,69
5530,40
5531,87
5532,69
5533,52
5535,37
5536,96
5546,1
5547,45
5548,21
5550,75
5551,35
5552,72
5553,9
5554,12
5568,75
5578,37
5579,78
5619,28
5620,11
5621,20
5622,3
5623,65
5624,30
5625,97
5626,32
5627,84
5637,42
5638,0
5639,40
5640,45
5641,47
5642,30
5644,86
5645,50
5646,12
5647,98
5661,16
5671,1
5672,71
5709,20
5710,27
5711,31
5712,60
5713,28
5714,10
5715,62
5724,65
5725,16
5726,45
5727,28
5728,5
5732,25
5733,2
5734,48
5735,72
5748,56
5760,64
5761,10
5798,77
5802,38
5803,54
5804,63
5816,37
5817,58
5818,4
5820,98
5821,3
5822,98
5823,60
5825,12
5826,0
5827,5
5828,68
5853,60
5854,5
5855,23
5888,39
5889,70
5897,16
5898,92
5899,6
5900,2
5901,43
5911,92
5912,22
5913,24
5914,91
5915,30
5917,39
5918,36
5919,4
5923,67
5924,65
5925,28
5926,13
5927,86
5928,32
5951,72
5952,52
5995,89
5996,34
5997,35
5998,39
5999,86
6009,49
6010,32
6011,89
6012,16
6013,68
6014,14
6016,73
6018,6
6019,96
6020,70
6023,20
6024,73
6046,40
6047,5
6069,20
6070,67
6071,20
6072,3
6073,20
6074,20
6075,17
6076,19
6077,19
6078,1
6079,5
6080,20
6081,20
6082,4
6083,32
6085,17
6086,41
6087,6
6095,95
6096,49
6097,75
6098,8
6100,94
6101,32
6102,22
6103,96
6104,46
6105,24
6108,86
6109,16
6110,10
6111,54
6128,42
6129,13
6130,28
6131,2
6149,6
6150,2
6151,19
6152,36
6153,4
6154,7
6155,36
6156,12
6157,20
6158,5
6159,73
6160,33
6161,78
6168,23
6169,69
6170,72
6171,68
6172,23
6173,24
6174,97
6175,24
6176,10
6177,60
6179,35
6182,57
6183,17
6184,4
6186,86
6187,80
6188,84
6198,63
6199,72
6222,27
6223,17
6224,17
6225,14
6226,7
6227,2
6228,24
6229,86
6230,23
6235,37
6236,57
6237,68
6238,2
6239,16
6240,60
6241,13
6242,13
6243,27
6244,42
6245,17
6246,12
6247,77
6248,45
6249,71
6254,4
6255,43
6256,11
6265,72
6266,68
6284,48
6285,93
6289,42
6291,72
6295,88
6296,32
6297,95
6298,55
6299,13
6300,52
6301,32
6302,40
6303,38
6304,34
6305,92
6306,36
6307,99
6308,52
6310,88
6311,48
6312,12
6318,10
6319,72
6320,20
6321,73
6326,99
6327,0
6343,39
6344,60
6345,30
6348,14
6349,16
6350,82
6354,17
6355,40
6359,84
6360,2
6361,86
6362,39
6363,7
6364,2
6365,12
6366,2
6367,14
6368,77
6369,4
6370,47
6371,4
6372,82
6373,20
6374,54
6375,93
6376,49
6385,2
6386,51
6387,1
6388,94
6391,54
6392,77
6402,86
6403,28
6404,6
6405,21
6407,5
6408,10
6410,52
6412,44
6413,1
6414,77
6417,87
6420,40
6425,77
6426,86
6427,45
6428,52
6429,88
6430,66
6431,87
6432,39
6433,61
6434,84
6435,47
6436,37
6437,33
6438,23
6439,37
6440,78
6441,60
6442,33
6443,93
6455,99
6456,68
6457,44
6458,86
6460,20
6461,94
6468,49
6469,36
6470,6
6471,63
6472,49
6473,35
6478,27
6479,37
6480,20
6482,46
6483,68
6484,5
6485,93
6486,89
6487,86
6488,2
6492,5
6493,7
6494,64
6495,60
6496,0
6497,77
6498,66
6499,36
6500,21
6501,85
6502,7
6503,3
6504,40
6505,37
6506,13
6507,11
6508,84
6509,37
6523,33
6524,92
6525,7
6526,72
6530,26
6535,96
6536,96
6537,20
6538,46
6539,16
6540,10
6548,92
6550,75
6552,70
6553,10
6554,44
6556,94
6558,86
6559,39
6564,69
6565,32
6567,6
6568,41
6569,24
6570,42
6571,41
6572,38
6573,48
6574,76
6575,2
6576,88
6577,40
6578,11
6579,89
6580,2
6596,69
6597,92
6598,20
6599,98
6609,2
6611,97
6612,85
6613,26
6614,69
6615,72
6616,2
6626,49
6627,11
6628,76
6629,47
6630,11
6631,5
6633,87
6635,21
6636,27
6637,62
6638,30
6639,6
6644,31
6645,96
6646,49
6647,42
6648,17
6649,4
6650,14
6651,2
6652,20
6653,97
6654,81
6655,9
6656,20
6657,22
6676,21
6677,95
6678,46
6679,63
6680,84
6687,44
6688,38
6689,17
6690,14
6705,84
6706,70
6707,79
6711,50
6712,63
6713,27
6714,89
6716,17
6717,3
6718,95
6719,5
6721,38
6722,38
6724,59
6725,96
6726,2
6747,1
6748,62
6764,3
6765,58
6766,13
6767,84
6768,97
6769,63
6772,30
6773,16
6774,39
6778,72
6781,16
6782,94
6783,28
6784,22
6785,41
6786,83
6788,20
6789,30
6797,86
6798,54
6823,19
6824,60
6845,12
6846,59
6847,11
6848,78
6849,35
6850,70
6851,63
6855,70
6856,39
6860,27
6866,30
6867,36
6868,3
6869,50
6870,88
6871,2
6877,66
6878,96
6879,35
6891,27
6892,32
6901,86
6902,66
6903,2
6906,24
6908,47
6922,95
6923,10
6927,52
6928,13
6930,49
6931,32
6940,1
6941,92
6942,16
6943,95
6944,43
6950,14
6951,67
6953,21
6964,58
6965,36
6979,59
6980,69
6984,77
6986,30
6999,52
7000,75
7001,71
7007,48
7008,60
7009,49
7011,24
7012,61
7022,1
7023,40
7024,97
7025,2
7030,3
7031,5
7042,65
7043,13
7057,9
7058,17
7062,92
7063,26
7073,63
7081,24
7082,77
7088,50
7089,17
7090,64
7092,95
7093,11
7105,27
7106,13
7110,42
7111,2
7113,76
7122,96
7123,60
7139,48
7140,28
7145,16
7146,2
7154,38
7162,4
7164,97
7165,7
7166,56
7167,35
7171,58
7172,71
7174,68
7175,10
7176,56
7190,25
7191,52
7192,16
7193,44
7194,64
7195,30
7196,54
7198,48
7199,59
7211,11
7212,11
7228,69
7229,86
7238,95
7246,95
7247,49
7248,13
7255,76
7256,62
7257,11
7258,79
7259,3
7260,75
7272,27
7273,29
7274,5
7277,22
7278,71
7279,54
7280,87
7282,89
7283,24
7284,12
7294,53
7295,72
7313,99
7314,87
7325,14
7335,92
7336,52
7337,41
7338,16
7339,24
7347,70
7348,65
7350,17
7351,6
7364,24
7365,80
7370,16
7371,96
7372,46
7373,50
7384,86
7385,2
7391,16
7392,10
7394,30
7402,1
7403,43
7404,3
7413,89
7414,16
7424,49
7425,13
7426,65
7427,39
7428,20
7429,78
7430,11
7440,19
7442,37
7443,86
7444,75
7446,46
7460,75
7461,11
7467,4
7468,84
7469,38
7470,58
7471,60
7481,68
7482,80
7483,35
7485,17
7486,53
7487,30
7488,37
7490,66
7497,38
7498,39
7508,96
7517,30
7518,49
7519,40
7528,67
7529,5
7530,21
7531,63
7532,12
7533,34
7534,8
7546,69
7547,42
7548,63
7556,28
7557,41
7558,5
7559,94
7567,96
7568,16
7569,30
7570,60
7571,82
7572,73
7576,93
7586,63
7587,22
7596,44
7597,64
7607,39
7608,37
7619,79
7620,66
7621,3
7622,21
7625,36
7626,17
7640,73
7641,88
7642,2
7653,14
7654,2
7655,86
7656,1
7657,89
7661,13
7662,33
7663,38
7664,37
7673,82
7674,18
7687,28
7688,4
7699,16
7700,45
7710,22
7711,4
7712,43
7713,70
7714,32
7715,85
7716,42
7730,86
7731,2
7732,44
7747,63
7748,43
7749,60
7750,6
7751,50
7753,96
7754,20
7755,24
7756,42
7758,69
7759,50
7772,33
7773,74
7798,28
7799,44
7809,16
7810,91
7812,38
7816,35
7817,58
7818,2
7833,50
7834,85
7852,19
7853,94
7854,19
7855,2
7856,94
7857,8
7858,33
7860,65
7861,75
7862,6
7874,36
7875,31
7877,5
7897,86
7898,2
7906,74
7907,28
7908,11
7909,11
7910,6
7911,2
7912,8
7926,27
7927,2
7928,61
7945,82
7948,7
7949,92
7950,97
7954,38
7955,20
7967,0
7968,37
7969,14
7970,5
7989,42
7990,14
7992,86
7993,60
8002,46
8003,27
8004,61
8008,69
8009,53
8010,2
8025,63
8026,56
8049,75
8050,30
8052,40
8053,75
8056,28
8059,90
8065,36
8066,1
8091,37
8092,2
8103,36
8104,77
8106,14
8108,38
8119,79
8120,45
8141,79
8142,58
8145,62
8146,54
8148,61
8151,88
8152,44
8162,84
8163,31
8185,76
8186,10
8188,30
8189,50
8190,44
8191,70
8192,69
8193,75
8195,64
8196,63
8197,82
8198,90
8199,90
8202,36
8203,2
8213,16
8214,28
8233,6
8234,10
8237,9
8238,48
8239,14
8240,10
8241,5
8248,10
8258,42
8259,17
8260,38
8279,2
8280,16
8281,63
8283,86
8284,11
8285,43
8286,10
8289,14
8290,24
8291,35
8292,12
8293,45
8294,59
8295,44
8296,95
8298,22
8299,17
8302,63
8307,31
8308,96
8309,34
8323,17
8324,74
8330,3
8331,77
8332,5
8333,98
8334,74
8347,6
8348,2
8349,44
8350,24
8369,86
8371,63
8372,72
8373,57
8374,13
8375,96
8376,41
8377,2
8384,39
8385,38
8386,54
8387,22
8388,79
8392,86
8393,5
8397,52
8398,13
8399,49
8406,48
8407,86
8409,84
8410,58
8424,93
8431,44
8433,33
8434,21
8435,46
8447,25
8448,44
8470,58
8472,56
8473,37
8474,36
8479,54
8485,67
8486,63
8488,28
8489,72
8492,78
8493,75
8494,97
8499,31
8500,69
8501,52
8512,78
8513,38
8524,53
8525,42
8538,70
8539,76
8561,36
8562,3
8563,58
8564,2
8565,10
8567,56
8568,73
8580,72
8582,78
8583,41
8588,69
8589,90
8590,93
8607,7
8610,39
8620,2
8631,60
8632,40
8633,63
8657,88
8658,53
8659,2
